fun_name,ea,size,has_input_masks,tri_slot_hits,polarity_pair,large_effects_call,score,candidate_type,source_file
FUN_00019388,103304,132,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00019388,103304,132,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00019388,103304,132,False,0,False,False,0,other,exports\bundle_MAIN.EXE.jsonl
FUN_000193a0,103328,336,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_000193a0,103328,336,False,0,False,False,0,other,exports\bundle_GAME.BIN.jsonl
FUN_000193a0,103328,336,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_000193a0,103328,336,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_0001942c,103468,152,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_0001942c,103468,152,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_0001942c,103468,152,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_0001942c,103468,152,False,0,False,False,0,other,exports\bundle_MAIN.EXE.jsonl
FUN_000194f0,103664,316,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_000194f0,103664,316,False,0,False,False,0,other,exports\bundle_GAME.BIN.jsonl
FUN_000194f0,103664,316,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_000194f0,103664,316,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_000195f0,103920,36,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_000195f0,103920,36,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_000195f0,103920,36,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_000195f0,103920,36,False,0,False,False,0,other,exports\bundle_MAIN.EXE.jsonl
FUN_000196d0,104144,208,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_000196d0,104144,208,False,0,False,False,0,other,exports\bundle_GAME.BIN.jsonl
FUN_000196d0,104144,208,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_000196d0,104144,208,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_000197a0,104352,212,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_000197a0,104352,212,False,0,False,False,0,other,exports\bundle_GAME.BIN.jsonl
FUN_000197a0,104352,212,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_000197a0,104352,212,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_000197bc,104380,1756,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_000197bc,104380,1756,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_000197bc,104380,1756,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_000197bc,104380,1756,False,0,False,False,0,other,exports\bundle_MAIN.EXE.jsonl
FUN_0001987c,104572,252,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_0001987c,104572,252,False,0,False,False,0,other,exports\bundle_GAME.BIN.jsonl
FUN_0001987c,104572,252,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_0001987c,104572,252,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00019978,104824,112,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00019978,104824,112,False,0,False,False,0,other,exports\bundle_GAME.BIN.jsonl
FUN_00019978,104824,112,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00019978,104824,112,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_000199d4,104916,28,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_000199d4,104916,28,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_000199d4,104916,28,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_000199d4,104916,28,False,0,False,False,0,other,exports\bundle_MAIN.EXE.jsonl
FUN_000199e8,104936,160,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_000199e8,104936,160,False,0,False,False,0,other,exports\bundle_GAME.BIN.jsonl
