fun_name,ea,size,shift_sites,unknown_pos_store_hits,small_neg_hits,velocity_adj_hits,heuristic_score,source_file,offsets_context_sample
FUN_00006dd0,28112,168,1,1,0,0,2,exports\bundle_all_plus_demo.jsonl,0x60;0xce
FUN_00006dd0,28112,168,1,1,0,0,2,exports\bundle_GAME.BIN.jsonl,0x60;0xce
FUN_00006dd0,28112,168,1,1,0,0,2,exports\bundle_ghidra.jsonl,0x60;0xce
FUN_00006dd0,28112,168,1,1,0,0,2,exports\bundle_ghidra.jsonl,0x60;0xce
FUN_00012cc0,76992,248,1,1,0,0,2,exports\bundle_all_plus_demo.jsonl,0x108;0x24;0x2c;0x44;0x68;0xb4
FUN_00012cc0,76992,248,1,1,0,0,2,exports\bundle_GAME.BIN.jsonl,0x108;0x24;0x2c;0x44;0x68;0xb4
FUN_00012cc0,76992,248,1,1,0,0,2,exports\bundle_ghidra.jsonl,0x108;0x24;0x2c;0x44;0x68;0xb4
FUN_00012cc0,76992,248,1,1,0,0,2,exports\bundle_ghidra.jsonl,0x108;0x24;0x2c;0x44;0x68;0xb4
FUN_0001eb14,125716,96,1,1,0,0,2,exports\bundle_all_plus_demo.jsonl,0x10;0x12;0x14;0x15;0x18;0x1a;0x1c;0x1d;0x20;0x22;0x2f;0x31
FUN_0001eb14,125716,96,1,1,0,0,2,exports\bundle_ghidra.jsonl,0x10;0x12;0x14;0x15;0x18;0x1a;0x1c;0x1d;0x20;0x22;0x2f;0x31
FUN_0001eb14,125716,96,1,1,0,0,2,exports\bundle_ghidra.jsonl,0x10;0x12;0x14;0x15;0x18;0x1a;0x1c;0x1d;0x20;0x22;0x2f;0x31
FUN_0001eb14,125716,96,1,1,0,0,2,exports\bundle_MAIN.EXE.jsonl,0x10;0x12;0x14;0x15;0x18;0x1a;0x1c;0x1d;0x20;0x22;0x2f;0x31
FUN_0001ec7c,126076,728,1,1,0,0,2,exports\bundle_all_plus_demo.jsonl,0x13;0x34;0x4e
FUN_0001ec7c,126076,728,1,1,0,0,2,exports\bundle_GAME.BIN.jsonl,0x13;0x34;0x4e
FUN_0001ec7c,126076,728,1,1,0,0,2,exports\bundle_ghidra.jsonl,0x13;0x34;0x4e
FUN_0001ec7c,126076,728,1,1,0,0,2,exports\bundle_ghidra.jsonl,0x13;0x34;0x4e
FUN_00025c18,154648,624,1,1,0,0,2,exports\bundle_all_plus_demo.jsonl,0x1e;0x22
