# idx,cos,sin,hexPair  meanR=4095.99 varR=0.08 minR=4095.38 maxR=4096.59
630,3497,2133,0x08550da9
631,-2133,3497,0x0da9f7ab
632,3494,2138,0x085a0da6
633,-2138,3494,0x0da6f7a6
634,3490,2143,0x085f0da2
635,-2143,3490,0x0da2f7a1
636,3487,2149,0x08650d9f
637,-2149,3487,0x0d9ff79b
638,3484,2154,0x086a0d9c
639,-2154,3484,0x0d9cf796
640,3481,2159,0x086f0d99
641,-2159,3481,0x0d99f791
642,3477,2165,0x08750d95
643,-2165,3477,0x0d95f78b
644,3474,2170,0x087a0d92
645,-2170,3474,0x0d92f786
646,3471,2175,0x087f0d8f
647,-2175,3471,0x0d8ff781
648,3467,2181,0x08850d8b
649,-2181,3467,0x0d8bf77b
650,3464,2186,0x088a0d88
651,-2186,3464,0x0d88f776
652,3461,2191,0x088f0d85
653,-2191,3461,0x0d85f771
654,3457,2197,0x08950d81
655,-2197,3457,0x0d81f76b
656,3454,2202,0x089a0d7e
657,-2202,3454,0x0d7ef766
658,3450,2207,0x089f0d7a
659,-2207,3450,0x0d7af761
660,3447,2213,0x08a50d77
661,-2213,3447,0x0d77f75b
662,3444,2218,0x08aa0d74
663,-2218,3444,0x0d74f756
664,3440,2223,0x08af0d70
665,-2223,3440,0x0d70f751
666,3437,2228,0x08b40d6d
667,-2228,3437,0x0d6df74c
668,3433,2234,0x08ba0d69
669,-2234,3433,0x0d69f746
670,3430,2239,0x08bf0d66
671,-2239,3430,0x0d66f741
672,3426,2244,0x08c40d62
673,-2244,3426,0x0d62f73c
674,3423,2249,0x08c90d5f
675,-2249,3423,0x0d5ff737
676,3420,2255,0x08cf0d5c
677,-2255,3420,0x0d5cf731
678,3416,2260,0x08d40d58
679,-2260,3416,0x0d58f72c
680,3413,2265,0x08d90d55
681,-2265,3413,0x0d55f727
682,3409,2270,0x08de0d51
683,-2270,3409,0x0d51f722
684,3406,2276,0x08e40d4e
685,-2276,3406,0x0d4ef71c
686,3402,2281,0x08e90d4a
687,-2281,3402,0x0d4af717
688,3399,2286,0x08ee0d47
689,-2286,3399,0x0d47f712
690,3395,2291,0x08f30d43
691,-2291,3395,0x0d43f70d
692,3392,2296,0x08f80d40
693,-2296,3392,0x0d40f708
694,3388,2302,0x08fe0d3c
695,-2302,3388,0x0d3cf702
696,3385,2307,0x09030d39
697,-2307,3385,0x0d39f6fd
698,3381,2312,0x09080d35
699,-2312,3381,0x0d35f6f8
700,3378,2317,0x090d0d32
701,-2317,3378,0x0d32f6f3
702,3374,2322,0x09120d2e
703,-2322,3374,0x0d2ef6ee
704,3370,2328,0x09180d2a
705,-2328,3370,0x0d2af6e8
706,3367,2333,0x091d0d27
707,-2333,3367,0x0d27f6e3
708,3363,2338,0x09220d23
709,-2338,3363,0x0d23f6de
710,3360,2343,0x09270d20
711,-2343,3360,0x0d20f6d9
712,3356,2348,0x092c0d1c
713,-2348,3356,0x0d1cf6d4
714,3352,2353,0x09310d18
715,-2353,3352,0x0d18f6cf
716,3349,2359,0x09370d15
717,-2359,3349,0x0d15f6c9
718,3345,2364,0x093c0d11
719,-2364,3345,0x0d11f6c4
720,3342,2369,0x09410d0e
721,-2369,3342,0x0d0ef6bf
722,3338,2374,0x09460d0a
723,-2374,3338,0x0d0af6ba
724,3334,2379,0x094b0d06
725,-2379,3334,0x0d06f6b5
726,3331,2384,0x09500d03
727,-2384,3331,0x0d03f6b0
728,3327,2389,0x09550cff
729,-2389,3327,0x0cfff6ab
730,3323,2394,0x095a0cfb
731,-2394,3323,0x0cfbf6a6
732,3320,2399,0x095f0cf8
733,-2399,3320,0x0cf8f6a1
734,3316,2405,0x09650cf4
735,-2405,3316,0x0cf4f69b
736,3312,2410,0x096a0cf0
737,-2410,3312,0x0cf0f696
738,3309,2415,0x096f0ced
739,-2415,3309,0x0cedf691
740,3305,2420,0x09740ce9
741,-2420,3305,0x0ce9f68c
742,3301,2425,0x09790ce5
743,-2425,3301,0x0ce5f687
744,3297,2430,0x097e0ce1
745,-2430,3297,0x0ce1f682
746,3294,2435,0x09830cde
747,-2435,3294,0x0cdef67d
748,3290,2440,0x09880cda
749,-2440,3290,0x0cdaf678
750,3286,2445,0x098d0cd6
751,-2445,3286,0x0cd6f673
752,3282,2450,0x09920cd2
753,-2450,3282,0x0cd2f66e
754,3279,2455,0x09970ccf
755,-2455,3279,0x0ccff669
756,3275,2460,0x099c0ccb
757,-2460,3275,0x0ccbf664
758,3271,2465,0x09a10cc7
759,-2465,3271,0x0cc7f65f
760,3267,2470,0x09a60cc3
761,-2470,3267,0x0cc3f65a
762,3264,2475,0x09ab0cc0
763,-2475,3264,0x0cc0f655
764,3260,2480,0x09b00cbc
765,-2480,3260,0x0cbcf650
766,3256,2485,0x09b50cb8
767,-2485,3256,0x0cb8f64b
768,3252,2490,0x09ba0cb4
769,-2490,3252,0x0cb4f646
770,3248,2495,0x09bf0cb0
771,-2495,3248,0x0cb0f641
772,3244,2500,0x09c40cac
773,-2500,3244,0x0cacf63c
774,3241,2505,0x09c90ca9
775,-2505,3241,0x0ca9f637
776,3237,2510,0x09ce0ca5
777,-2510,3237,0x0ca5f632
778,3233,2515,0x09d30ca1
779,-2515,3233,0x0ca1f62d
780,3229,2520,0x09d80c9d
781,-2520,3229,0x0c9df628
782,3225,2525,0x09dd0c99
783,-2525,3225,0x0c99f623
784,3221,2530,0x09e20c95
785,-2530,3221,0x0c95f61e
786,3217,2535,0x09e70c91
787,-2535,3217,0x0c91f619
788,3214,2540,0x09ec0c8e
789,-2540,3214,0x0c8ef614
790,3210,2545,0x09f10c8a
791,-2545,3210,0x0c8af60f
792,3206,2550,0x09f60c86
793,-2550,3206,0x0c86f60a
794,3202,2555,0x09fb0c82
795,-2555,3202,0x0c82f605
796,3198,2559,0x09ff0c7e
797,-2559,3198,0x0c7ef601
798,3194,2564,0x0a040c7a
799,-2564,3194,0x0c7af5fc
800,3190,2569,0x0a090c76
