symbol,canonical_address_hex,observations,distinct_addresses,map_files,address_histogram
GENV,0x80090950,2,1,1,0x80090950(2)
GETCLUT,0x80011FAC,2,5,5,0x80011FAC(2);0x8001A8A4(2);0x80028F30(2);0x800840B4(2);0x800916D4(2)
GETDISPENV,0x8001388C,2,5,5,0x8001388C(2);0x8001C270(2);0x8002A8FC(2);0x80085738(2);0x800930A0(2)
GETDRAWENV,0x800133A4,2,5,5,0x800133A4(2);0x8001BD88(2);0x8002A414(2);0x800852D0(2);0x80092BB8(2)
GETFREESONGID,0x8008CFDC,2,1,1,0x8008CFDC(2)
GETFREQ2,0x8008BDE8,2,1,1,0x8008BDE8(2)
GETGRAPHDEBUG,0x80012B24,2,5,5,0x80012B24(2);0x8001B46C(2);0x80029AF8(2);0x800849CC(2);0x8009229C(2)
GETGRAPHTYPE,0x80012B14,2,4,4,0x80012B14(2);0x8001B45C(2);0x80029AE8(2);0x8009228C(2)
GETINTRMASK,0x80011068,2,5,5,0x80011068(2);0x80019030(2);0x80026E94(2);0x8008224C(2);0x8008F874(2)
GETLOGPERIOD,0x8008865C,2,1,1,0x8008865C(2)
GETLONG,0x80088CD8,2,1,1,0x80088CD8(2)
GETODE,0x800138C4,2,5,5,0x800138C4(2);0x8001C2A8(2);0x8002A934(2);0x8008576C(2);0x800930D8(2)
GETPERIOD,0x80088728,2,1,1,0x80088728(2)
GETRCNT,0x80031650,2,2,2,0x80031650(2);0x80097A78(2)
GETSWORD,0x80088CBC,2,1,1,0x80088CBC(2)
GETTPAGE,0x80011EE4,2,5,5,0x80011EE4(2);0x8001A7DC(2);0x80028E68(2);0x80084078(2);0x8009160C(2)
GETVIDEOMODE,0x800119FC,2,5,5,0x800119FC(2);0x800199C4(2);0x80027828(2);0x80082B7C(2);0x80090B5C(2)
GETWORD,0x80088CA8,2,1,1,0x80088CA8(2)
GET_INTER_POINT_INT,0x800224F4,2,1,1,0x800224F4(2)
GEnv,0x80122DC0,4,6,7,0x80122DC0(4);0x80017C10(2);0x8001D0F0(2);0x800317C0(2);0x80122ECC(2);0x80123348(2)
GPOWER_LINE,0x8001C548,2,1,1,0x8001C548(2)
GPU_CW,0x800154DC,2,5,5,0x800154DC(2);0x8001DF38(2);0x8002C5C4(2);0x800876A8(2);0x80094D68(2)
GPU_PRINTF,0x800166AC,2,5,5,0x800166AC(2);0x8001FDAC(2);0x8003BDA8(2);0x8009094C(2);0x800A1704(2)
GPU_clearque,0x80013418,2,2,2,0x80013418(2);0x80014150(2)
GPU_cw,0x80016B8C,4,17,19,0x80016B8C(4);0x80107344(4);0x80013ADC(2);0x80014980(2);0x80015968(2);0x8001609C(2);0x800164D0(2);0x80017084(2);0x800170F8(2);0x80017328(2);0x80017364(2);0x800173F8(2);0x8001E8E8(2);0x80036204(2);0x80037830(2);0x80107240(2);0x8010799C(2)
GPU_printf,0x800196B0,4,17,19,0x800196B0(4);0x80122DBC(4);0x80014EC0(2);0x80015B48(2);0x80017C0C(2);0x80017FD0(2);0x800185B8(2);0x8001B93C(2);0x8001CD90(2);0x8001D0EC(2);0x8002AB90(2);0x800311E4(2);0x800317BC(2);0x8004618C(2);0x80047C10(2);0x80122EC8(2);0x80123344(2)
GROW_BAR,0x80021B54,2,1,1,0x80021B54(2)
GSCLIP3FAR,0x80024718,2,3,3,0x80024718(2);0x80099F60(2);0x800C5A54(2)
GSCLIP3NEAR,0x80024768,2,3,3,0x80024768(2);0x800C5B40(2);0x800E08C0(2)
GSGETTIMINFO,0x8001DF48,2,4,4,0x8001DF48(2);0x8002C5D4(2);0x800876B8(2);0x80094D78(2)
GSIDMATRIX,0x80024740,2,3,3,0x80024740(2);0x800C5B10(2);0x800E0858(2)
GSIDMATRIX2,0x80024770,2,3,3,0x80024770(2);0x800C6230(2);0x80124DC0(2)
GSLIGHTWSMATRIX,0x800246F8,2,3,3,0x800246F8(2);0x80079CA0(2);0x800C5968(2)
GSLIGHT_MODE,0x80025F90,2,3,3,0x80025F90(2);0x800C7B30(2);0x801266C8(2)
GVAB,0x8004DF88,2,1,1,0x8004DF88(2)
G_link,0x80121B18,4,3,4,0x80121B18(4);0x80121C24(2);0x80122184(2)
